,main1,main2,main3,main4,main5,main6,bonus,times,date
362,07,10,15,20,37,40,28,第362回,2007年9月27日
363,03,06,07,22,27,31,04,第363回,2007年10月4日
364,07,11,12,19,33,42,36,第364回,2007年10月11日
365,06,19,20,28,36,37,11,第365回,2007年10月18日
366,12,13,15,18,30,41,21,第366回,2007年10月25日
367,10,13,17,38,41,43,28,第367回,2007年11月1日
368,07,10,18,21,33,35,13,第368回,2007年11月8日
369,03,09,12,16,18,37,14,第369回,2007年11月15日
370,02,11,13,15,16,32,43,第370回,2007年11月22日
371,14,15,23,24,32,34,31,第371回,2007年11月29日
372,07,19,28,33,35,39,21,第372回,2007年12月6日
373,07,14,15,19,35,43,30,第373回,2007年12月13日
374,04,24,25,26,27,34,28,第374回,2007年12月20日
375,07,09,14,17,36,37,11,第375回,2007年12月27日
376,20,21,25,27,34,38,16,第376回,2008年1月10日
377,02,03,08,20,21,24,13,第377回,2008年1月17日
378,11,13,19,26,36,43,31,第378回,2008年1月24日
379,08,13,15,21,33,34,05,第379回,2008年1月31日
380,17,22,25,26,27,43,16,第380回,2008年2月7日
381,04,13,15,22,39,41,30,第381回,2008年2月14日
382,02,06,15,28,29,43,14,第382回,2008年2月21日
383,07,12,17,18,24,28,43,第383回,2008年2月28日
384,17,19,20,22,33,41,35,第384回,2008年3月6日
385,06,31,34,35,37,40,07,第385回,2008年3月13日
386,02,09,11,15,23,25,27,第386回,2008年3月20日
387,12,16,19,27,30,32,38,第387回,2008年3月27日
388,05,12,14,18,20,31,02,第388回,2008年4月3日
389,06,12,22,25,31,35,28,第389回,2008年4月10日
390,05,16,17,22,39,43,21,第390回,2008年4月17日
391,08,20,23,24,29,38,43,第391回,2008年4月24日
392,10,15,18,30,31,37,11,第392回,2008年5月1日
393,07,18,27,37,38,43,35,第393回,2008年5月8日
394,14,27,28,31,37,40,18,第394回,2008年5月15日
395,15,21,26,28,42,43,39,第395回,2008年5月22日
396,09,12,21,26,33,40,05,第396回,2008年5月29日
397,15,16,23,30,39,43,11,第397回,2008年6月5日
398,02,31,36,37,39,43,13,第398回,2008年6月12日
399,01,14,17,28,31,37,21,第399回,2008年6月19日
400,04,09,19,22,23,33,38,第400回,2008年6月26日
401,14,15,27,34,35,42,37,第401回,2008年7月3日
402,03,18,23,24,29,33,28,第402回,2008年7月10日
403,08,10,13,20,24,33,23,第403回,2008年7月17日
404,03,10,14,18,26,43,33,第404回,2008年7月24日
405,06,13,19,20,30,31,08,第405回,2008年7月31日
